config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,80,data/density_2g_w0.25__cell_+0.50.nc,2.7681512760479653e-05,-3.7925361499969627e-06,0.9236042524514475,7.077648125920743e-05,6.933666175877626e-05,-2.662369229422249e-08,3.7659124577027405e-06,0.3992334222374915,23976,9.10696330958018e-06,1.0574843934756902e-05,2.7259199244362697e-06,70.17109050607188,36.30733733617882,41.62542753751037,9.234572176756021
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,80,data/density_2g_w0.5__cell_+0.50.nc,2.2221874121707352e-05,-4.492569056079963e-06,0.9421046914714677,6.200831406443412e-05,6.484467798062066e-05,-2.3493461875915327e-06,2.1432228684884297e-06,0.34269387733482976,23976,9.094279978507268e-06,1.0457583723241238e-05,2.3941714845171142e-06,67.92808946351066,32.29665057608744,31.787320942769405,9.539499861071318
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,80,data/density_2g_w0.75__cell_+0.50.nc,2.1825588974572826e-05,-1.911620699249408e-06,0.9347030534105868,5.897336575797093e-05,6.089697275903401e-05,-3.65829615786768e-07,1.5457910834626386e-06,0.35840187099177306,23976,9.141535148687042e-06,1.0237636435543486e-05,2.591344266199657e-06,56.79373769071153,29.54358380324514,28.340906002243713,11.409708646556973
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,80,data/density_2g_w1.0__cell_+0.50.nc,2.5599429327599988e-05,-7.796924650510777e-07,0.9012966759272453,5.685753532538117e-05,5.817699995886821e-05,1.1622651160515629e-06,1.9419575811026413e-06,0.44002663158463085,23976,9.05167458101501e-06,9.997641284967909e-06,3.2146574369960757e-06,49.1060520582846,28.18031837813578,26.61077427291427,13.195929479952504
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,80,data/density_2g_w1.5__cell_+0.50.nc,3.076335924208886e-05,8.809834775989795e-07,0.8473304736379933,5.6622623079532645e-05,5.441098033080495e-05,3.2967424445402727e-06,2.415758966941295e-06,0.5653888067271613,23976,9.176220183126262e-06,9.565275490982502e-06,4.2261028790600166e-06,37.793273749375565,26.86214083407463,25.550044972095794,17.145908139559
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,80,data/density_2g_w2.0__cell_+0.50.nc,3.4206522176013384e-05,2.207622311129486e-06,0.8015316482945823,5.639240365297655e-05,5.050841781649398e-05,5.096238089512925e-06,2.888615778383438e-06,0.6772439853549111,23976,9.490090108777242e-06,8.930065687155787e-06,5.269741424146634e-06,28.963057654396525,26.537215654751172,23.63881627118524,22.37332838722693
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,80,data/density_4g_w0.25__cell_+0.50.nc,1.609431937301612e-05,-2.6102890539494356e-07,0.9704032651394108,6.580467237755661e-05,6.639268058838308e-05,2.7832232176280514e-06,3.044252123022995e-06,0.24241104938655225,23976,9.782055304848577e-06,1.0382219346808376e-05,1.529014200720124e-06,100.31628252164332,34.51536089673159,31.476396530863315,6.459569510664368
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,80,data/density_4g_w0.5__cell_+0.50.nc,9.47517655948973e-06,1.5214245176401782e-06,0.9883777734446694,5.817019250670788e-05,6.053836447344081e-05,2.891883381968153e-06,1.3704588643279742e-06,0.15651523859133407,23976,9.136555563970462e-06,1.0125162664576147e-05,1.2695181791966144e-06,66.26160477047279,29.87958339145109,28.01975397324106,9.77941905036322
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,80,data/density_4g_w0.75__cell_+0.50.nc,8.586542415257463e-06,-6.206708480200373e-09,0.9886583022327928,5.584296680754665e-05,5.705164176713662e-05,1.7588397414046984e-06,1.765046449884898e-06,0.15050473832645353,23976,8.88264969571897e-06,9.800714021584464e-06,1.024379374270985e-06,80.78205749406864,28.217506810978946,27.14656624006118,8.021583258727706
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,80,data/density_4g_w1.0__cell_+0.50.nc,9.52690583726305e-06,-2.8532102762713026e-07,0.9843949567907603,5.362631461978492e-05,5.4065183919562785e-05,1.6842431124178981e-06,1.9695641400450267e-06,0.17621147560391193,23976,8.608125555465946e-06,9.498306163215787e-06,1.1456888464702954e-06,67.79478465988798,26.912780855731697,26.506681830298817,9.558257368186627
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,80,data/density_4g_w1.5__cell_+0.50.nc,1.541810374351777e-05,7.396563304880876e-07,0.9514110737305395,4.949209007994465e-05,4.93053841808552e-05,3.4811172685730487e-06,2.7414609380849607e-06,0.312706289580124,23976,7.789176416492815e-06,8.802276590403604e-06,1.9426290132775883e-06,48.6676306662394,26.047941147771592,27.30545379882104,13.314804750696767
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,80,data/density_4g_w2.0__cell_+0.50.nc,2.070902630556406e-05,1.556341971734047e-06,0.8934925085678518,4.479610259665914e-05,4.46886665812474e-05,5.0999409384027745e-06,3.5435989666687275e-06,0.46340667309715927,23976,6.572129666050144e-06,7.919479421296373e-06,2.8396510633576806e-06,39.37463811512831,26.39001214770382,31.13598121818007,16.45729411163855
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,80,data/density_6g_w0.25__cell_+0.50.nc,9.572123465368052e-06,-9.936161309852437e-07,0.9896671440696054,6.582788026697371e-05,6.639268058838308e-05,2.0506359920377514e-06,3.044252123022995e-06,0.14417437856911766,23976,9.30700775006073e-06,1.0382219346808376e-05,1.2566059099801862e-06,64.32331075792881,34.51536089673159,34.880421036610414,10.07410831881231
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,80,data/density_6g_w0.5__cell_+0.50.nc,7.87862418869964e-06,-2.552834323678933e-08,0.9916279800459454,5.904979365488233e-05,6.053836447344081e-05,1.3449305210911853e-06,1.3704588643279742e-06,0.13014266667471872,23976,9.040549804218737e-06,1.0125162664576147e-05,1.092334521756069e-06,68.0770340107134,29.87958339145109,29.472454924637415,9.51862855684963
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,80,data/density_6g_w0.75__cell_+0.50.nc,8.200316931172872e-06,-7.375603917202632e-07,0.9897063784903736,5.665641088034885e-05,5.705164176713662e-05,1.0274860581646365e-06,1.765046449884898e-06,0.14373498600870221,23976,8.895908371714616e-06,9.800714021584464e-06,9.552146104565807e-07,80.04278848117652,28.217506810978946,27.85230780674388,8.095669982216933
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,80,data/density_6g_w1.0__cell_+0.50.nc,9.575154530153473e-06,-6.892500224419271e-07,0.9843794755328342,5.3997046206014483e-05,5.4065183919562785e-05,1.2803141176031e-06,1.9695641400450267e-06,0.1771038926714689,23976,8.663704495467519e-06,9.498306163215787e-06,1.1422012080975665e-06,66.2410532010697,26.912780855731697,26.503254370254236,9.782453156851915
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,80,data/density_6g_w1.5__cell_+0.50.nc,1.543554464650668e-05,2.4083971323473797e-07,0.9515378414956778,4.979386214358797e-05,4.93053841808552e-05,2.982300651319699e-06,2.7414609380849607e-06,0.3130600217998129,23976,7.842097228697443e-06,8.802276590403604e-06,1.94544890826685e-06,47.8824686543421,26.047941147771592,27.27121155907557,13.533136828801283
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,80,data/density_6g_w2.0__cell_+0.50.nc,2.090798206853112e-05,1.0443133877671741e-06,0.8915510022322425,4.497828759211323e-05,4.46886665812474e-05,4.587912354435901e-06,3.5435989666687275e-06,0.4678587138087643,23976,6.544581707721835e-06,7.919479421296373e-06,2.880703953592657e-06,38.851695130816715,26.39001214770382,31.675024760273693,16.67880893788889
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,80,data/equator_1deg_w0.25__cell_+0.00.nc,2.5167639334051962e-05,3.5656765466624453e-06,0.8981899769983221,5.459003560914787e-05,5.572422612098138e-05,1.007148936355245e-05,6.5058128168900024e-06,0.45164627821678804,23976,6.34135046419655e-06,5.494259803942019e-06,2.530676548444207e-06,74.26402353500032,83.95987513523781,49.5204905379777,8.725624725875516
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,80,data/equator_1deg_w0.5__cell_+0.00.nc,2.167321839704667e-05,3.887673828979496e-06,0.9133033329835053,4.894766173209937e-05,5.226673487674161e-05,9.728143660438572e-06,5.840469831459075e-06,0.41466562715573657,23976,4.674036049622418e-06,5.310891400047785e-06,2.2184172779744014e-06,77.17114231002178,78.81463181399089,72.74993339611035,8.396921188451138
equator_1deg_w0.75,equator,equator_1deg,0.75,0.0,2,2,1.0,8,80,data/equator_1deg_w0.75__cell_+0.00.nc,2.064236701296355e-05,4.469008804296196e-06,0.9146607949407551,4.723446849377386e-05,4.9652090016104994e-05,1.0476952111726655e-05,6.007943307430458e-06,0.4157401431897037,23976,4.474725258430812e-06,5.114995457655577e-06,2.2518226291171176e-06,66.32244541857659,76.44045132546808,73.34194962342573,9.770447936747797
equator_1deg_w1.0,equator,equator_1deg,1.0,0.0,2,2,1.0,8,80,data/equator_1deg_w1.0__cell_+0.00.nc,2.1202144896444813e-05,4.848342759812112e-06,0.9047878149419835,4.680345785620504e-05,4.7708733854276634e-05,1.1177671314838425e-05,6.329328555026313e-06,0.44440803986132704,23976,4.4279283837344315e-06,4.957498878680086e-06,2.4679023843685846e-06,55.21204531452248,75.12092214730654,73.0627077450214,11.736569371929352
equator_1deg_w1.5,equator,equator_1deg,1.5,0.0,2,2,1.0,8,80,data/equator_1deg_w1.5__cell_+0.00.nc,2.4505522214259872e-05,4.653091425819566e-06,0.8611611282791363,4.6618225120055884e-05,4.4304645954320125e-05,1.127863635098141e-05,6.625544925161843e-06,0.5531140512786413,23976,4.607792444971434e-06,4.66846658898912e-06,3.7655888575454538e-06,29.97135181969474,73.09613607937591,66.28000736971873,21.62064640588507
