config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,70,data/density_2g_w0.25__cell_+0.50.nc,2.9348249728411274e-05,-2.685815321178598e-06,0.8920525543493181,6.375114974578048e-05,6.177070108813552e-05,-3.7634308344396496e-06,-1.0776155132610514e-06,0.47511602121103785,20736,8.97653154462201e-06,9.89273367456757e-06,2.8284291291898645e-06,79.3892916462021,32.90199052358645,34.11655314404699,8.162309885416388
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,70,data/density_2g_w0.5__cell_+0.50.nc,2.4232778961041396e-05,-1.939379041773279e-06,0.9026101663211924,5.39855037127331e-05,5.531850567287024e-05,-2.5809099644744976e-06,-6.415309227012172e-07,0.43805917506780806,20736,8.973624769574634e-06,9.759050020101121e-06,2.5957470229506946e-06,69.24954650754631,26.968525505520727,24.349572478210874,9.357462000554555
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,70,data/density_2g_w0.75__cell_+0.50.nc,2.1785373910399332e-05,-1.023874114085408e-06,0.909615211817415,4.9491519746733564e-05,5.214463617715787e-05,-1.9453557713655093e-06,-9.214816572801034e-07,0.4177874371658285,20736,8.898778332798393e-06,9.647040381398782e-06,2.6760424085112233e-06,55.70694677000403,24.46069903042494,20.64883228071258,11.63230149150666
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,70,data/density_2g_w1.0__cell_+0.50.nc,2.391933123244584e-05,8.948509226354663e-07,0.8829318234240988,4.8154790609255276e-05,5.027489952563385e-05,5.59515953357839e-07,-3.3533496927762775e-07,0.4757708410784591,20736,8.791408414836487e-06,9.560590895094468e-06,3.0870379240233156e-06,48.320768965255304,23.13201408237043,19.891136336496515,13.410382613445984
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,70,data/density_2g_w1.5__cell_+0.50.nc,2.8051317568629992e-05,3.941952647136277e-06,0.8350846123969083,4.8228848249828816e-05,4.848521563206029e-05,4.598539076513297e-06,6.565864293770191e-07,0.5785540438038473,20736,8.906581941147208e-06,9.668205877859589e-06,4.3133636638885554e-06,31.221794068987936,21.060608954504247,19.33643288123429,20.754733010158667
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,70,data/density_2g_w2.0__cell_+0.50.nc,3.2279304084483925e-05,4.204972901559784e-06,0.775870497175112,4.9514168941358814e-05,4.53773722555311e-05,5.0302514799464905e-06,8.252785783867064e-07,0.7113524313993164,20736,9.471210407320313e-06,9.109530682978935e-06,5.4972624827903e-06,24.061083318732827,20.74276616724081,17.98866069833677,26.931455721093727
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,70,data/density_4g_w0.25__cell_+0.50.nc,1.8157746423945892e-05,9.75290966063625e-07,0.9496157942439116,5.719805480413699e-05,5.7033176592946254e-05,-7.242121655936628e-07,-1.6995031316572893e-06,0.3183716480241012,20736,8.832645163701008e-06,9.896142975869935e-06,1.82810089765713e-06,82.12884101788185,28.008403508360136,28.528509513943877,7.890041938603656
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,70,data/density_4g_w0.5__cell_+0.50.nc,1.0287538078953645e-05,-1.8693938207058364e-08,0.9802718398352976,5.1426132733043075e-05,5.199725790289667e-05,-1.3801926109567906e-06,-1.3614986727497316e-06,0.19784770378017466,20736,8.760539364879529e-06,9.681060316560177e-06,1.368234547290558e-06,55.90024508879817,24.23195407558361,23.409946694107177,11.592077976950632
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,70,data/density_4g_w0.75__cell_+0.50.nc,9.705485297111397e-06,-1.7975533973312914e-07,0.9803661531154776,4.814428294485397e-05,4.920903975762737e-05,-1.370723123379625e-06,-1.190967783646496e-06,0.19722972333771363,20736,8.53308438629532e-06,9.523473614284335e-06,1.1302389734253673e-06,76.44762271581307,22.356852584265173,21.52757046608006,8.476391769681051
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,70,data/density_4g_w1.0__cell_+0.50.nc,1.0166253718483493e-05,-9.51792464514581e-07,0.9766936283947892,4.659877721924316e-05,4.706490480904829e-05,-1.2550512373383326e-06,-3.0325877282375116e-07,0.21600497780097533,20736,8.208199195053928e-06,9.242606086562064e-06,1.2567867979749816e-06,62.01244184777186,21.676186649968187,21.669517424949262,10.449515946988676
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,70,data/density_4g_w1.5__cell_+0.50.nc,1.329315504826215e-05,-2.0097305544193814e-07,0.9526697408857386,4.240819898451538e-05,4.363422340638566e-05,7.018018922268337e-07,9.02774947668772e-07,0.3046497453262056,20736,7.4870080298573e-06,8.623259049778057e-06,1.8144639314091272e-06,46.50933220512468,21.385044414257244,21.338225279524863,13.932687683883783
